iteration,timestamp,success,NPV_over_CAPEX,annual_carbon_offset,clearance,sp,p_rated,Nwt,wind_MW_per_km2,solar_MW,surface_tilt,surface_azimuth,b_P,b_E_h,time_sec
0,158148.5316722,1,0.5724922826287856,-42690.309158411,25.35455684541877,280.8354612820835,10.396686843162751,32.72864275116916,1.056380402401246,183.77794401065918,4.727989183585855,178.91969300710423,107.33802758484903,35.131906837258136,0.0
1,158155.6340461,1,-2.028320668116608,-390300.0746733594,36.09610190093926,238.53903316750763,14.225805201015547,44.979727241983014,6.1186871699118175,52.61189558842038,50.770424174774405,186.7897015611046,31.384277158030645,4.955712426856126,7.102373899979284
2,158162.8925175,1,0.8568740874778589,-26980.843108805297,44.487380225642795,258.4016796861044,15.40761145448451,48.98488796761339,2.4731933404100266,131.84267537969237,73.83643873510489,159.93480817902443,113.2764214430458,32.54806079494296,14.360845299990615
3,158171.7827723,1,0.7283306453208318,-24035.604787774733,118.35766132644851,346.1831947047835,12.479485945007717,31.165174650269112,2.7663142125826115,139.60818915088197,86.6129219847668,154.34840693701864,192.79201305683165,10.028996453189208,23.2511000999948
4,158191.0267791,1,-1.956682100558813,-110039.47819752025,98.09841412613918,314.5770548106311,6.898275687176946,11.171326168479975,8.534153316919586,154.10356933297186,42.456543541629586,155.60590337771006,78.92773361640106,18.4333158019475,42.495106899994425
5,158208.0550566,1,0.08408096679615766,-45754.088081513444,118.82953497002221,252.98564362146362,7.482619903061575,20.640983508599447,3.9846269528411753,181.9599184319223,81.20637383482246,207.12423989313183,86.64471929515857,9.519997717600067,59.52338439997402
6,158224.7396641,1,-2.411174530837836,-357043.90235987393,39.65969024560195,354.658355031072,9.783088474516138,46.98365184605596,5.690176276978849,49.433931619138114,43.01217886913333,153.0786142098468,170.96996410450143,27.805784002072482,76.2079918999807
7,158239.4084258,1,0.5209393407208168,-17700.84861960989,61.775251132255846,245.72566317058912,14.934808179024428,6.673467136742891,9.841252292027082,63.915425765121405,31.163701709708157,188.74900427121003,68.56512964498867,29.084134664123518,90.87675359999412
8,158256.5066229,1,0.6540949326724363,-29328.78633025092,105.51676309438652,327.2530713261464,10.473036071253789,28.551566347750633,1.1660943653025304,131.11130832931622,50.90961197793438,150.89533977960855,141.52275871207524,23.095725124369288,107.97495069997967
9,158272.4639807,1,-2.048899927215299,-237307.80824870378,63.28979714132979,203.38611393912498,6.81850407936085,27.779015563895907,3.971895154045,103.15460361754464,41.78080504891511,155.99714537564944,173.85802049785008,23.098665696721273,123.93230849999236
10,158287.5137599,1,0.4038913156929062,-31783.33553327547,23.80236223901508,271.6183976173334,5.863550330951032,36.68647642227998,2.089226789824738,121.09085806377452,72.05750299084671,199.4525562144651,76.37065175077291,14.767940962904815,138.98208769998746
11,158305.0030674,1,-2.8698365775971606,-364305.79769089597,47.0293756028632,349.943733636062,15.426830048590276,33.03034074153847,8.066627617622267,190.72675616019373,17.787506370931723,175.60618170954675,36.34570994452971,27.403098793898497,156.4713951999729
12,158320.6456484,1,0.7513730436257602,-16727.763084957543,51.575674318027865,231.44695300594688,9.623052968407922,29.11080908662989,1.2076220448459278,68.79661336797257,86.23589622958661,204.96977758349226,100.3759020083098,18.35908896568702,172.1139761999948
13,158336.2143048,1,0.8782938487589372,-12483.83917909031,67.42594902979064,253.22343205587305,19.560452069205382,21.20678740171036,9.380672872512225,47.03564773334078,66.77753494444579,194.29123767951907,33.140616077610176,18.296803921364866,187.6826325999864
14,158350.9315129,1,0.6474127025057277,-45519.76764409631,25.278192616639664,324.5771050288666,13.76475406396213,44.61578291308849,1.9584282309974306,170.18535849150174,73.17270666571757,208.22427530302136,75.28546218398144,11.275809699909379,202.39984069997445
15,158366.4680522,1,-2.3991769235269556,-140144.68715821658,65.66599966806817,229.40631411241912,11.123509874128356,10.924470913792817,6.43079744439109,49.544650909051654,7.81858957047389,170.6395853607595,54.17107834625025,19.682279834680088,217.9363799999992
16,158382.3788183,1,0.8141994942098515,-14635.72757898036,16.45329427893447,213.7635160931894,8.60250297276356,45.58892130192494,2.77964224432738,56.95204289514518,9.972455907768879,194.55274377126665,142.1639877324967,8.349943035723014,233.84714609998628
17,158399.2303095,1,0.2788684151220266,-43182.55311914805,52.306977417483964,273.01841708406766,18.330555120415234,11.481419082708873,2.74754091174234,164.01260899536388,15.8893759828619,205.94242915289925,183.45810464027562,9.088317590910517,250.69863729999634
