Iteration,Eval,New simulations,Time [min],NPV_over_CAPEX,clearance [m],sp [W/m2],p_rated [MW],Nwt,wind_MW_per_km2 [MW/km2],solar_MW [MW],surface_tilt [deg],surface_azimuth [deg],DC_AC_ratio,b_P [MW],b_E_h [h],cost_of_battery_P_fluct_in_peak_price_ratio
1,16,22,1.65,-0.56439138,10,327.2458261,11.57019677,16.83400675,9.928661918,61.72379706,6.426216349,161.1221167,1.479,20,4,8.75
1,17,22,1.65,-0.053373995,13.10475,313.612,6.199625,7.998125,9.576775,40.28075,0.00225,170.4315,1.479,20,4,8.75
1,18,22,1.65,0.058052675,22.49875,351.076,5.721125,6.249875,9.315325,33.93125,88.43625,206.3415,1.479,20,4,8.75
1,19,22,1.65,-0.089966476,51.73125,358.076,5.971625,8.765375,9.498925,197.56475,88.53975,154.4115,1.479,20,4,8.75
1,20,22,1.65,-0.182033099,55.47675,344.292,6.419375,7.185875,9.871975,198.20225,86.31225,174.6975,1.479,20,4,8.75
1,21,22,1.65,-0.112756646,65.47025,277.164,5.144375,6.528875,8.885575,111.99525,89.88975,185.7615,1.479,20,4,8.75
1,22,22,1.65,0.912977185,70.10827065,200,11.57019677,16.83400675,9.928661918,61.72379706,6.426216349,161.1221167,1.479,20,4,8.75
1,23,22,1.65,-0.376090447,70.10827065,327.2458261,5,16.83400675,9.928661918,61.72379706,6.426216349,161.1221167,1.479,20,4,8.75
1,24,22,1.65,-0.261215294,70.10827065,327.2458261,11.57019677,5,9.928661918,61.72379706,6.426216349,161.1221167,1.479,20,4,8.75
1,25,22,1.65,0.920204149,70.10827065,327.2458261,11.57019677,16.83400675,1,61.72379706,6.426216349,161.1221167,1.479,20,4,8.75
1,26,22,1.65,-0.754464497,70.10827065,327.2458261,11.57019677,16.83400675,9.928661918,30,6.426216349,161.1221167,1.479,20,4,8.75
1,27,22,1.65,-0.7382324,70.10827065,327.2458261,11.57019677,16.83400675,9.928661918,61.72379706,0,161.1221167,1.479,20,4,8.75
1,28,22,1.65,-0.741765628,70.10827065,327.2458261,11.57019677,16.83400675,9.928661918,61.72379706,6.426216349,150,1.479,20,4,8.75
1,29,22,1.65,-0.750378805,70.10827065,327.2458261,11.57019677,16.83400675,9.928661918,61.72379706,6.426216349,210,1.479,20,4,8.75
1,30,22,1.65,-0.722587151,70.10827065,327.2458261,11.57019677,16.83400675,9.928661918,61.72379706,90,161.1221167,1.479,20,4,8.75
1,31,22,1.65,-0.704886811,70.10827065,327.2458261,11.57019677,16.83400675,9.928661918,200,6.426216349,161.1221167,1.479,20,4,8.75
1,32,22,1.65,-0.743505489,70.10827065,327.2458261,11.57019677,16.83400675,10,61.72379706,6.426216349,161.1221167,1.479,20,4,8.75
1,33,22,1.65,-0.467541037,70.10827065,327.2458261,11.57019677,50,9.928661918,61.72379706,6.426216349,161.1221167,1.479,20,4,8.75
1,34,22,1.65,0.98218358,70.10827065,327.2458261,20,16.83400675,9.928661918,61.72379706,6.426216349,161.1221167,1.479,20,4,8.75
