,MDFwind_kgCO2eperMWh
01/01/2023 00:00,203.0201397
01/01/2023 01:00,184.8361851
01/01/2023 02:00,187.4128171
01/01/2023 03:00,182.973134
01/01/2023 04:00,184.0090826
01/01/2023 05:00,183.6896694
01/01/2023 06:00,192.6262901
01/01/2023 07:00,184.8719086
01/01/2023 08:00,187.8018959
01/01/2023 09:00,189.5618245
01/01/2023 10:00,205.1960407
01/01/2023 11:00,215.032893
01/01/2023 12:00,248.2932436
01/01/2023 13:00,293.585502
01/01/2023 14:00,380.123284
01/01/2023 15:00,444.9893375
01/01/2023 16:00,621.1034537
01/01/2023 17:00,627.0360477
01/01/2023 18:00,519.3750034
01/01/2023 19:00,525.0017003
01/01/2023 20:00,537.4517487
01/01/2023 21:00,520.7564588
01/01/2023 22:00,351.0184669
01/01/2023 23:00,262.7340355
02/01/2023 00:00,190.0919742
02/01/2023 01:00,177.0930967
02/01/2023 02:00,205.3775883
02/01/2023 03:00,228.8139289
02/01/2023 04:00,279.6783876
02/01/2023 05:00,430.4063502
02/01/2023 06:00,566.3479452
02/01/2023 07:00,409.8706118
02/01/2023 08:00,454.1666503
02/01/2023 09:00,477.2589179
02/01/2023 10:00,396.6645013
02/01/2023 11:00,358.0740671
02/01/2023 12:00,382.9834869
02/01/2023 13:00,389.2447924
02/01/2023 14:00,425.3771538
02/01/2023 15:00,500.9873823
02/01/2023 16:00,434.8056445
02/01/2023 17:00,321.042056
02/01/2023 18:00,280.6734028
02/01/2023 19:00,349.2006026
02/01/2023 20:00,401.3177452
02/01/2023 21:00,425.9318334
02/01/2023 22:00,310.0231538
02/01/2023 23:00,234.5840488
03/01/2023 00:00,242.8346386
03/01/2023 01:00,269.4722239
03/01/2023 02:00,288.8578259
03/01/2023 03:00,247.4356381
03/01/2023 04:00,404.6193693
03/01/2023 05:00,379.6991979
03/01/2023 06:00,302.3261983
03/01/2023 07:00,223.6301715
03/01/2023 08:00,190.0190772
03/01/2023 09:00,158.7530114
03/01/2023 10:00,140.7614902
03/01/2023 11:00,180.0388653
03/01/2023 12:00,212.2586947
03/01/2023 13:00,277.1330133
