Unnamed: 0,WS_1,WS_50,WS_100,WS_150,WS_200,WD_1,WD_50,WD_100,WD_150,WD_200,temp_air_1,ghi,dni,dhi,Price
2012-01-01 00:00:00,0.4485,4.2263,5.8079,6.8995,7.4455,258.4997,262.5181,266.6185,270.7189,274.8193,279.1597,0.01,0.01,0.01,33.559
2012-01-01 01:00:00,0.9106,4.6966,6.2788,7.3701,7.9149,246.3336,251.8016,257.3811,262.9607,268.5402,279.3524,0.01,0.01,0.01,33.559
2012-01-01 02:00:00,0.8195,4.7924,6.4165,7.5276,8.0699,238.574,243.8265,249.1863,254.546,259.9057,279.4403,0.01,0.01,0.01,33.559
2012-01-01 03:00:00,1.2523,5.5653,7.2846,8.4499,9.0031,242.8481,246.8977,251.0298,255.162,259.2942,279.566,0.01,0.01,0.01,33.559
2012-01-01 04:00:00,1.9606,6.2658,7.9284,9.0417,9.5507,249.4607,252.7233,256.0524,259.3815,262.7106,279.7822,0.01,0.01,0.01,33.559
2012-01-01 05:00:00,1.2298,5.011,6.4416,7.3921,7.8154,244.4915,247.7254,251.0253,254.3253,257.6252,279.8897,0.01,0.01,0.01,34.166
2012-01-01 06:00:00,1.2182,5.2047,6.6899,7.6709,8.0988,235.7055,238.6311,241.6164,244.6017,247.5869,280.0377,0.01,0.01,0.01,35.74
2012-01-01 07:00:00,0.919,5.6735,7.4492,8.6232,9.137,237.6195,239.9404,242.3086,244.6768,247.045,280.3507,1.3328,0.01,1.3328,38.097
2012-01-01 08:00:00,0.5755,5.3193,7.1001,8.2797,8.7995,238.8645,241.1152,243.4118,245.7084,248.0051,280.6352,6.0914,0.01,6.0914,47.786
2012-01-01 09:00:00,0.9907,5.5078,7.2106,8.3402,8.8408,236.3983,238.459,240.5617,242.6643,244.767,281.1417,13.0461,0.01,13.0461,37.705
2012-01-01 10:00:00,1.7389,5.8538,7.4665,8.5526,9.0581,235.4131,238.3343,241.3151,244.2959,247.2767,281.5193,19.527,0.01,19.527,37.21
2012-01-01 11:00:00,1.9268,6.3156,8.0049,9.1346,9.6489,238.8722,241.6169,244.4176,247.2183,250.0191,282.2284,27.5808,0.01,27.5808,36.465
2012-01-01 12:00:00,1.8023,6.4473,8.1829,9.3305,9.8329,239.7011,241.4844,243.304,245.1236,246.9432,282.776,36.2032,0.01,36.2032,35.566
2012-01-01 13:00:00,1.8543,6.3459,7.9732,9.0365,9.4816,239.4394,240.9359,242.4629,243.9898,245.5168,283.1584,36.8858,0.01,36.8858,35.566
