Unnamed: 0,WS_1,WS_50,WS_100,WS_150,WS_200,WD_1,WD_50,WD_100,WD_150,WD_200,temp_air_1,ghi,dni,dhi,Price
2012-01-01 00:00:00,2.5338,8.5536,10.4509,12.5945,13.3364,296.5162,299.3364,302.2142,305.092,307.9698,284.9638,0.01,0.01,0.01,32.685
2012-01-01 01:00:00,2.9129,8.759,10.6025,12.6848,13.406,295.4451,298.4383,301.4925,304.5468,307.601,284.5261,0.01,0.01,0.01,32.685
2012-01-01 02:00:00,2.6153,8.2742,10.0611,12.0784,12.7786,295.6101,298.9092,302.2755,305.6418,309.0082,283.8999,0.01,0.01,0.01,32.685
2012-01-01 03:00:00,2.7392,8.1183,9.8219,11.743,12.413,294.581,298.3361,302.1679,305.9996,309.8314,283.595,0.01,0.01,0.01,32.685
2012-01-01 04:00:00,3.1948,8.2902,9.9123,11.7378,12.3796,294.2594,298.4729,302.7723,307.0717,311.3711,283.2473,0.01,0.01,0.01,32.685
2012-01-01 05:00:00,2.3399,7.0627,8.5707,10.2658,10.8645,293.6094,297.9965,302.4732,306.9498,311.4265,282.6468,0.01,0.01,0.01,34.292
2012-01-01 06:00:00,2.0433,6.2046,7.5138,8.994,9.5047,293.0916,297.7875,302.5792,307.371,312.1627,282.4504,0.01,0.01,0.01,35.576
2012-01-01 07:00:00,1.2908,5.1419,6.3688,7.7492,8.235,292.0708,297.1644,302.362,307.5595,312.7571,282.3162,5.9928,6.5718,5.5188,37.531
2012-01-01 08:00:00,0.9708,4.2973,5.303,6.46,6.8331,289.1171,295.1108,301.2268,307.3427,313.4587,282.4565,54.8249,117.8744,37.0194,45.689
2012-01-01 09:00:00,1.7825,4.2763,4.928,5.7517,5.9402,285.8506,291.3453,296.9521,302.5589,308.1657,284.9626,152.665,287.4419,85.8064,36.05
2012-01-01 10:00:00,2.666,4.7498,5.2744,5.9605,6.0989,278.7629,283.6471,288.6309,293.6148,298.5986,287.7894,237.2207,326.4645,132.8051,35.576
2012-01-01 11:00:00,2.2529,3.977,4.4207,4.9891,5.1129,281.1633,284.4885,287.8815,291.2745,294.6675,288.9231,314.3109,439.4673,142.2945,34.865
2012-01-01 12:00:00,1.7156,2.9012,3.1873,3.5788,3.6449,269.7242,272.3564,275.0422,277.7281,280.414,289.7795,354.4594,558.0348,130.0637,34.005
2012-01-01 13:00:00,1.1595,1.9141,2.1,2.3486,2.3946,253.2551,252.6371,252.0066,251.376,250.7454,290.1367,319.0304,519.4196,124.8441,34.005
2012-01-01 14:00:00,0.3105,0.9156,1.0806,1.2823,1.3344,170.8064,174.6108,178.4929,182.3749,186.257,290.2123,251.7623,515.6786,97.4788,34.292
2012-01-01 15:00:00,0.1,1.2607,1.6482,2.1086,2.2403,129.8886,133.8893,137.9717,142.054,146.1364,289.9286,150.2633,440.4623,60.0257,35.181
2012-01-01 16:00:00,0.7305,2.5216,2.9832,3.5737,3.7029,126.4616,128.6259,130.8345,133.043,135.2515,287.7213,46.0426,176.1056,23.1136,46.663
2012-01-01 17:00:00,2.3855,4.2975,4.7721,5.4017,5.522,136.2057,135.4768,134.733,133.9893,133.2455,284.6328,2.0475,0.7951,1.9911,46.663
2012-01-01 18:00:00,2.1131,4.3124,4.9045,5.6351,5.8175,148.9855,143.577,138.0581,132.5392,127.0203,284.1672,0.01,0.01,0.01,46.663
2012-01-01 19:00:00,1.9675,4.0501,4.616,5.3096,5.487,161.0961,151.6277,141.966,132.3043,122.6427,284.0517,0.01,0.01,0.01,42.991
2012-01-01 20:00:00,1.2926,3.0891,3.5777,4.1762,4.3296,170.3097,156.4033,142.213,128.0228,113.8325,283.6638,0.01,0.01,0.01,35.979
2012-01-01 21:00:00,1.1986,2.7127,3.1417,3.6528,3.7975,192.9633,166.4415,139.3784,112.3153,85.2522,281.0926,0.01,0.01,0.01,35.442
2012-01-01 22:00:00,0.8089,1.9277,2.2682,2.6586,2.786,222.9291,172.2017,120.4391,68.6765,16.9139,282.5082,0.01,0.01,0.01,35.035
2012-01-01 23:00:00,1.2254,1.794,1.91,2.1186,2.1231,334.0556,213.7643,91.018,328.2717,205.5255,280.54,0.01,0.01,0.01,32.685
2012-01-02 00:00:00,0.6339,1.532,1.7315,2.0374,2.0678,322.7252,193.2559,61.1443,289.0327,156.9211,279.6439,0.01,0.01,0.01,32.685
2012-01-02 01:00:00,0.9084,2.9018,3.5361,4.2501,4.5008,296.2806,321.0374,346.2994,11.5615,36.8235,279.9424,0.01,0.01,0.01,32.685
2012-01-02 02:00:00,1.1533,3.7083,4.5782,5.5359,5.9064,319.0976,253.8283,187.2269,120.6255,54.0241,280.4235,0.01,0.01,0.01,32.685
2012-01-02 03:00:00,0.9168,3.7869,4.7712,5.8526,6.2748,306.8051,326.7728,347.148,7.5232,27.8983,280.834,0.01,0.01,0.01,32.685
2012-01-02 04:00:00,1.1985,4.2866,5.294,6.4178,6.8276,308.0775,322.8596,337.9433,353.0271,8.1108,281.3898,0.01,0.01,0.01,32.685
2012-01-02 05:00:00,1.8229,5.128,6.2062,7.4091,7.8477,303.1949,313.6363,324.2909,334.9454,345.5999,281.67,0.01,0.01,0.01,34.292
2012-01-02 06:00:00,1.9518,5.8358,7.1607,8.6185,9.1838,300.067,307.5971,315.2809,322.9648,330.6486,282.2768,0.01,0.01,0.01,35.576
2012-01-02 07:00:00,2.2439,6.8006,8.2881,9.947,10.5526,301.2486,306.7847,312.4339,318.083,323.7322,282.5744,4.4485,0.152,4.4386,37.531
2012-01-02 08:00:00,2.8033,8.1203,9.798,11.6927,12.3496,306.421,310.1215,313.8974,317.6733,321.4493,283.5045,30.9743,3.9524,30.3592,45.689
2012-01-02 09:00:00,3.2095,9.7829,11.7427,14.0127,14.7262,313.5023,314.2204,314.9531,315.6858,316.4186,284.2303,58.4389,3.8987,57.8055,36.05
2012-01-02 10:00:00,3.9363,11.0694,13.1291,15.556,16.2717,311.7515,311.5775,311.3998,311.2222,311.0446,283.9829,110.872,16.2051,104.9337,35.576
2012-01-02 11:00:00,4.1,10.914,12.8915,15.215,15.9076,304.9889,304.9141,304.8378,304.7615,304.6852,283.8401,166.6138,31.3425,154.5059,34.865
2012-01-02 12:00:00,4.1894,10.4518,12.2804,14.4216,15.0678,302.5282,301.9805,301.4217,300.8628,300.3039,284.1326,153.5663,18.6836,145.9868,34.005
2012-01-02 13:00:00,3.8675,10.3087,12.2021,14.4112,15.0869,304.4307,303.5103,302.571,301.6318,300.6926,284.3112,167.2494,64.0273,144.7602,34.005
2012-01-02 14:00:00,4.2035,10.5924,12.4049,14.563,15.1756,309.5655,308.8107,308.0405,307.2703,306.5001,285.0067,171.7969,116.8248,136.4947,34.292
2012-01-02 15:00:00,4.7405,11.4356,13.3748,15.6558,16.3329,306.1478,305.823,305.4915,305.16,304.8286,284.7741,106.5881,158.1821,80.5074,35.181
2012-01-02 16:00:00,4.0639,11.2185,13.3882,15.8807,16.6889,304.4754,304.0488,303.6135,303.1781,302.7428,284.0469,38.1087,102.1038,26.2127,46.663
2012-01-02 17:00:00,3.773,10.6032,12.6476,15.011,15.7594,302.925,302.9147,302.9041,302.8935,302.8829,283.2304,1.9796,0.167,1.9693,46.663
2012-01-02 18:00:00,3.2805,9.8908,11.888,14.1863,14.9265,304.1767,304.5897,305.0112,305.4326,305.8541,282.7479,0.01,0.01,0.01,46.663
2012-01-02 19:00:00,4.1137,11.0319,13.1015,15.4946,16.2515,304.2135,304.5542,304.9019,305.2496,305.5973,282.9149,0.01,0.01,0.01,42.991
2012-01-02 20:00:00,3.551,10.5498,12.6277,15.0396,15.7917,303.3624,303.918,304.4851,305.0521,305.6191,282.6014,0.01,0.01,0.01,35.979
2012-01-02 21:00:00,3.914,10.9115,12.9821,15.3896,16.1354,305.2937,306.1732,307.0707,307.9682,308.8656,281.6611,0.01,0.01,0.01,35.442
2012-01-02 22:00:00,4.0682,10.7512,12.8048,15.1498,15.928,309.4131,309.9686,310.5353,311.1021,311.6689,281.422,0.01,0.01,0.01,35.035
2012-01-02 23:00:00,3.5862,10.1033,12.0657,14.3276,15.0517,311.3292,312.6501,313.9981,315.346,316.6939,281.3356,0.01,0.01,0.01,32.685
2012-01-03 00:00:00,3.657,10.0684,12.0094,14.2409,14.9623,306.62,308.2365,309.8859,311.5354,313.1848,281.0476,0.01,0.01,0.01,34.89
2012-01-03 01:00:00,3.348,9.5486,11.4458,13.6163,14.3311,302.8734,304.6755,306.5144,308.3533,310.1922,281.4148,0.01,0.01,0.01,34.89
2012-01-03 02:00:00,3.2747,9.1498,10.9759,13.0508,13.7528,300.6206,303.2285,305.8896,308.5507,311.2118,280.7716,0.01,0.01,0.01,34.89
2012-01-03 03:00:00,2.4097,7.9873,9.742,11.7259,12.4105,298.0721,301.0726,304.1343,307.1959,310.2576,280.1526,0.01,0.01,0.01,34.89
