,dni,Price
2023-01-01 00:00:00,0.0,0.0
2023-01-01 01:00:00,0.0,0.0
2023-01-01 02:00:00,0.0,0.0
2023-01-01 03:00:00,0.0,0.0
2023-01-01 04:00:00,0.0,0.0
2023-01-01 05:00:00,0.0,0.0
2023-01-01 06:00:00,0.0,0.0
2023-01-01 07:00:00,0.0,0.0
2023-01-01 08:00:00,0.0,0.0
2023-01-01 09:00:00,394.938592192066,0.0
2023-01-01 10:00:00,685.467589728365,0.0
2023-01-01 11:00:00,460.2093399576,0.0
2023-01-01 12:00:00,230.036882645095,0.0
2023-01-01 13:00:00,553.507390444193,0.1
2023-01-01 14:00:00,170.327110926864,0.1
2023-01-01 15:00:00,31.935801108911,0.01
2023-01-01 16:00:00,58.556897145182,1.0
2023-01-01 17:00:00,145.487847438752,4.16
2023-01-01 18:00:00,0.0,15.1
2023-01-01 19:00:00,0.0,19.51
2023-01-01 20:00:00,0.0,24.61
2023-01-01 21:00:00,0.0,40.07
2023-01-01 22:00:00,0.0,40.07
2023-01-01 23:00:00,0.0,16.0
2023-01-02 00:00:00,0.0,61.38
2023-01-02 01:00:00,0.0,42.17
2023-01-02 02:00:00,0.0,42.0
2023-01-02 03:00:00,0.0,42.07
2023-01-02 04:00:00,0.0,42.17
2023-01-02 05:00:00,0.0,63.22
2023-01-02 06:00:00,0.0,85.0
2023-01-02 07:00:00,0.0,105.36
2023-01-02 08:00:00,0.0,131.0
2023-01-02 09:00:00,40.2821241022522,131.58
2023-01-02 10:00:00,61.020410221007,127.0
2023-01-02 11:00:00,127.05834147524,126.07
2023-01-02 12:00:00,14.813798203708,127.0
2023-01-02 13:00:00,3.52511402680148e-10,130.0
2023-01-02 14:00:00,50.1769790575951,131.0
2023-01-02 15:00:00,71.1932756058553,128.0
2023-01-02 16:00:00,47.2141335181486,131.88
2023-01-02 17:00:00,85.7032416561415,160.0
2023-01-02 18:00:00,0.0,174.74
2023-01-02 19:00:00,0.0,165.76
2023-01-02 20:00:00,0.0,153.0
2023-01-02 21:00:00,0.0,141.67
2023-01-02 22:00:00,0.0,134.91
2023-01-02 23:00:00,0.0,124.22
2023-01-03 00:00:00,0.0,130.01
2023-01-03 01:00:00,0.0,120.0
2023-01-03 02:00:00,0.0,118.76
2023-01-03 03:00:00,0.0,115.0
2023-01-03 04:00:00,0.0,113.63
2023-01-03 05:00:00,0.0,116.27
2023-01-03 06:00:00,0.0,138.92
2023-01-03 07:00:00,0.0,155.59
2023-01-03 08:00:00,0.0,169.17
2023-01-03 09:00:00,458.085517259967,171.18
2023-01-03 10:00:00,649.800345135443,154.9
2023-01-03 11:00:00,778.651108724718,146.71
2023-01-03 12:00:00,814.145589114833,133.33
2023-01-03 13:00:00,842.53700280712,130.0
2023-01-03 14:00:00,881.857783837792,126.0
2023-01-03 15:00:00,819.693750739678,120.0
2023-01-03 16:00:00,731.465468002648,135.56
2023-01-03 17:00:00,644.933850662688,156.3
2023-01-03 18:00:00,0.0,169.01
2023-01-03 19:00:00,0.0,160.99
2023-01-03 20:00:00,0.0,152.1
2023-01-03 21:00:00,0.0,149.92
2023-01-03 22:00:00,0.0,132.53
2023-01-03 23:00:00,0.0,115.0
2023-01-04 00:00:00,0.0,119.99
2023-01-04 01:00:00,0.0,100.0
2023-01-04 02:00:00,0.0,90.23
2023-01-04 03:00:00,0.0,84.2
2023-01-04 04:00:00,0.0,80.23
2023-01-04 05:00:00,0.0,87.31
2023-01-04 06:00:00,0.0,109.0
2023-01-04 07:00:00,0.0,105.1
2023-01-04 08:00:00,0.0,134.16
2023-01-04 09:00:00,406.79609974279,129.3
