time,Measurement,DA_1,DA_2,DA_3,HA,RT,HA_ub,HA_lb
01/01/2021 00.00,0,0,0,0,0,0,0,0
01/01/2021 00.15,0,0,0,0,0,0,0,0
01/01/2021 00.30,0,0,0,0,0,0,0,0
01/01/2021 00.45,0,0,0,0,0,0,0,0
01/01/2021 01.00,0,0,0,0,0,0,0,0
01/01/2021 01.15,0,0,0,0,0,0,0,0
01/01/2021 01.30,0,0,0,0,0,0,0,0
01/01/2021 01.45,0,0,0,0,0,0,0,0
01/01/2021 02.00,0,0,0,0,0,0,0,0
01/01/2021 02.15,0,0,0,0,0,0,0,0
01/01/2021 02.30,0,0,0,0,0,0,0,0
01/01/2021 02.45,0,0,0,0,0,0,0,0
01/01/2021 03.00,0,0,0,0,0,0,0,0
01/01/2021 03.15,0,0,0,0,0,0,0,0
01/01/2021 03.30,0,0,0,0,0,0,0,0
01/01/2021 03.45,0,0,0,0,0,0,0,0
01/01/2021 04.00,0,0,0,0,0,0,0,0
01/01/2021 04.15,0,0,0,0,0,0,0,0
01/01/2021 04.30,0,0,0,0,0,0,0,0
01/01/2021 04.45,0,0,0,0,0,0,0,0
01/01/2021 05.00,0,0,0,0,0,0,0,0
01/01/2021 05.15,0,0,0,0,0,0,0,0
01/01/2021 05.30,0,0,0,0,0,0,0,0
01/01/2021 05.45,0,0,0,0,0,0,0,0
01/01/2021 06.00,0,0,0,0,0,0,0,0
01/01/2021 06.15,0,0,0,0,0,0,0,0
01/01/2021 06.30,0,0,0,0,0,0,0,0
01/01/2021 06.45,0,0,0,0,0,0,0,0
01/01/2021 07.00,0,0,0,0,0,0,0,0
01/01/2021 07.15,0,0,0,0,0,0,0,0
01/01/2021 07.30,0,0,0,0,0,0,0,0
01/01/2021 07.45,0,0,0,0,0,0,0,0
01/01/2021 08.00,0,0,0,0,0,0,0,0
01/01/2021 08.15,0,0,0,0,0,0,0,0
01/01/2021 08.30,0.0003375,0,0.002734005,0,0,0,0,0
01/01/2021 08.45,0.0016125,0,0.008202016,0,0,0.0003375,0,0
01/01/2021 09.00,0,0,0,0,0,0.0016125,0,0
01/01/2021 09.15,0.00185,0,0.001062847,0,0,0,0,0
01/01/2021 09.30,0.00775,0,0.042681237,0,0,0.00185,0,0
01/01/2021 09.45,0.01365,0,0.084299627,0,0,0.00775,0,0
01/01/2021 10.00,0.0255875,0,0.164698323,0,0,0.01365,0,0
01/01/2021 10.15,0.0274625,0,0.180463175,0,0,0.0255875,0,0
01/01/2021 10.30,0.0293375,1.26E-05,0.196228027,0,1.26E-05,0.0274625,0.00001575,0.00000945
01/01/2021 10.45,0.0312125,3.77E-05,0.211992879,0,3.77E-05,0.0293375,0.000047125,0.000028275
01/01/2021 11.00,0.0383375,6.27E-05,0.279036533,0,6.27E-05,0.0312125,0.000078375,0.000047025
01/01/2021 11.15,0.0367125,8.80E-05,0.260615518,0,8.80E-05,0.0383375,0.00011,0.000066
