time,Measurement,DA,HA,RT,5%_fc,10%_fc,15%_fc,20%_fc,25%_fc,30%_fc,35%_fc,40%_fc,45%_fc,50%_fc,55%_fc,60%_fc,65%_fc,70%_fc,75%_fc,80%_fc,85%_fc,90%_fc,95%_fc
1/1/2022 0:00,0.3454,0.4724,0.465032787,0.3454,0.157732654,0.215295689,0.25448253,0.285481096,0.322101822,0.348008583,0.376445486,0.402204455,0.434824503,0.465032787,0.483273137,0.50490058,0.527109198,0.551420259,0.600177801,0.646856559,0.692337467,0.738695349,0.841715448
1/1/2022 0:15,0.3804,0.511475,0.46642286,0.3454,0.161907712,0.220785207,0.257987585,0.28721819,0.322939008,0.349447638,0.378082953,0.405046925,0.437737477,0.46642286,0.483871136,0.504879467,0.528468223,0.553636073,0.601357077,0.648538552,0.695582154,0.741949728,0.844367692
1/1/2022 0:30,0.4033,0.55055,0.467812933,0.3804,0.16608277,0.226274724,0.26149264,0.288955285,0.323776194,0.350886692,0.37972042,0.407889395,0.440650451,0.467812933,0.484469134,0.504858355,0.529827247,0.555851887,0.602536352,0.650220545,0.698826841,0.745204106,0.847019937
1/1/2022 0:45,0.4916,0.589625,0.469203006,0.4033,0.170257827,0.231764242,0.264997696,0.290692379,0.324613379,0.352325747,0.381357887,0.410731866,0.443563425,0.469203006,0.485067132,0.504837243,0.531186272,0.558067701,0.603715628,0.651902539,0.702071527,0.748458485,0.849672181
1/1/2022 1:00,0.5279,0.6287,0.47059308,0.4916,0.174432885,0.237253759,0.268502751,0.292429473,0.325450565,0.353764801,0.382995354,0.413574336,0.446476399,0.47059308,0.48566513,0.504816131,0.532545296,0.560283515,0.604894903,0.653584532,0.705316214,0.751712864,0.852324425
1/1/2022 1:15,0.5207,0.628925,0.424894138,0.5279,0.161475347,0.217806184,0.245691101,0.267913898,0.297219869,0.321314113,0.347118937,0.375406453,0.404048435,0.424894138,0.440370317,0.458513371,0.482977792,0.507183306,0.542278123,0.584300857,0.632007465,0.67552468,0.780039953
1/1/2022 1:30,0.5458,0.62915,0.379195197,0.5207,0.148517809,0.19835861,0.222879451,0.243398323,0.268989172,0.288863424,0.31124252,0.337238571,0.36162047,0.379195197,0.395075504,0.412210611,0.433410287,0.454083096,0.479661343,0.515017183,0.558698715,0.599336496,0.70775548
1/1/2022 1:45,0.4635,0.629375,0.333496255,0.5458,0.135560272,0.178911035,0.200067801,0.218882748,0.240758476,0.256412735,0.275366102,0.299070688,0.319192505,0.333496255,0.349780691,0.36590785,0.383842783,0.400982887,0.417044563,0.445733508,0.485389966,0.523148312,0.635471008
1/1/2022 2:00,0.3606,0.6296,0.287797314,0.4635,0.122602734,0.15946346,0.177256151,0.194367173,0.212527779,0.223962046,0.239489685,0.260902806,0.276764541,0.287797314,0.304485878,0.31960509,0.334275279,0.347882678,0.354427783,0.376449833,0.412081216,0.446960128,0.563186535
1/1/2022 2:15,0.3564,0.59055,0.273078277,0.3606,0.108841805,0.142750496,0.160087161,0.17701845,0.195632793,0.21069075,0.226621583,0.245866231,0.261164708,0.273078277,0.289105726,0.304980571,0.319756054,0.331330384,0.341542112,0.363871222,0.395492887,0.430019954,0.538836526
