Time,Measurement,DA,HA,5min_ahead,,
1/7/2012 0:00,0.5,0.845,0.4876,0.4923,,
1/7/2012 0:05,0.5264,0.823958333,0.485108333,0.4923,,
1/7/2012 0:10,0.5211,0.802916667,0.482616667,0.5264,,
1/7/2012 0:15,0.5179,0.781875,0.480125,0.5211,,
1/7/2012 0:20,0.5158,0.760833333,0.477633333,0.5179,,
1/7/2012 0:25,0.4623,0.739791667,0.475141667,0.5158,,
1/7/2012 0:30,0.4387,0.71875,0.47265,0.4623,,
1/7/2012 0:35,0.4366,0.697708333,0.470158333,0.4387,,
1/7/2012 0:40,0.4458,0.676666667,0.467666667,0.4366,,
1/7/2012 0:45,0.4371,0.655625,0.465175,0.4458,,
1/7/2012 0:50,0.4263,0.634583333,0.462683333,0.4371,,
1/7/2012 0:55,0.4124,0.613541667,0.460191667,0.4263,,
1/7/2012 1:00,0.3926,0.5925,0.4577,0.4124,,
1/7/2012 1:05,0.3571,0.5876,0.4606,0.3926,,
1/7/2012 1:10,0.3237,0.5827,0.4635,0.3571,,
1/7/2012 1:15,0.3287,0.5778,0.4664,0.3237,,
1/7/2012 1:20,0.2972,0.5729,0.4693,0.3287,,
1/7/2012 1:25,0.3087,0.568,0.4722,0.2972,,
1/7/2012 1:30,0.336,0.5631,0.4751,0.3087,,
1/7/2012 1:35,0.3519,0.5582,0.478,0.336,,
1/7/2012 1:40,0.3716,0.5533,0.4809,0.3519,,
1/7/2012 1:45,0.3824,0.5484,0.4838,0.3716,,
1/7/2012 1:50,0.3964,0.5435,0.4867,0.3824,,
1/7/2012 1:55,0.4002,0.5386,0.4896,0.3964,,
1/7/2012 2:00,0.4468,0.5337,0.4925,0.4002,,
1/7/2012 2:05,0.4434,0.528733333,0.489058333,0.4468,,
1/7/2012 2:10,0.4346,0.523766667,0.485616667,0.4434,,
1/7/2012 2:15,0.4563,0.5188,0.482175,0.4346,,
1/7/2012 2:20,0.4211,0.513833333,0.478733333,0.4563,,
1/7/2012 2:25,0.4011,0.508866667,0.475291667,0.4211,,
1/7/2012 2:30,0.4295,0.5039,0.47185,0.4011,,
1/7/2012 2:35,0.3976,0.498933333,0.468408333,0.4295,,
1/7/2012 2:40,0.3875,0.493966667,0.464966667,0.3976,,
1/7/2012 2:45,0.4086,0.489,0.461525,0.3875,,
1/7/2012 2:50,0.4059,0.484033333,0.458083333,0.4086,,
1/7/2012 2:55,0.4132,0.479066667,0.454641667,0.4059,,
1/7/2012 3:00,0.4357,0.4741,0.4512,0.4132,,
1/7/2012 3:05,0.4135,0.478608333,0.456708333,0.4357,,
1/7/2012 3:10,0.3858,0.483116667,0.462216667,0.4135,,
1/7/2012 3:15,0.4127,0.487625,0.467725,0.3858,,
1/7/2012 3:20,0.4117,0.492133333,0.473233333,0.4127,,
1/7/2012 3:25,0.4239,0.496641667,0.478741667,0.4117,,
1/7/2012 3:30,0.4461,0.50115,0.48425,0.4239,,
1/7/2012 3:35,0.4493,0.505658333,0.489758333,0.4461,,
1/7/2012 3:40,0.4497,0.510166667,0.495266667,0.4493,,
1/7/2012 3:45,0.4992,0.514675,0.500775,0.4497,,
1/7/2012 3:50,0.5339,0.519183333,0.506283333,0.4992,,
1/7/2012 3:55,0.5736,0.523691667,0.511791667,0.5339,,
1/7/2012 4:00,0.6092,0.5282,0.5173,0.5736,,
1/7/2012 4:05,0.6148,0.531166667,0.521125,0.6092,,
1/7/2012 4:10,0.6056,0.534133333,0.52495,0.6148,,
1/7/2012 4:15,0.6118,0.5371,0.528775,0.6056,,
1/7/2012 4:20,0.6238,0.540066667,0.5326,0.6118,,
1/7/2012 4:25,0.6424,0.543033333,0.536425,0.6238,,
1/7/2012 4:30,0.6465,0.546,0.54025,0.6424,,
1/7/2012 4:35,0.6197,0.548966667,0.544075,0.6465,,
1/7/2012 4:40,0.6315,0.551933333,0.5479,0.6197,,
1/7/2012 4:45,0.6872,0.5549,0.551725,0.6315,,
1/7/2012 4:50,0.7364,0.557866667,0.55555,0.6872,,
1/7/2012 4:55,0.7447,0.560833333,0.559375,0.7364,,
1/7/2012 5:00,0.7003,0.5638,0.5632,0.7447,,
1/7/2012 5:05,0.6117,0.567208333,0.553641667,0.7003,,
1/7/2012 5:10,0.6579,0.570616667,0.544083333,0.6117,,
1/7/2012 5:15,0.6524,0.574025,0.534525,0.6579,,
1/7/2012 5:20,0.6232,0.577433333,0.524966667,0.6524,,
1/7/2012 5:25,0.6087,0.580841667,0.515408333,0.6232,,
1/7/2012 5:30,0.5992,0.58425,0.50585,0.6087,,
1/7/2012 5:35,0.614,0.587658333,0.496291667,0.5992,,
1/7/2012 5:40,0.5888,0.591066667,0.486733333,0.614,,
1/7/2012 5:45,0.6011,0.594475,0.477175,0.5888,,
1/7/2012 5:50,0.571,0.597883333,0.467616667,0.6011,,
1/7/2012 5:55,0.565,0.601291667,0.458058333,0.571,,
1/7/2012 6:00,0.5797,0.6047,0.4485,0.565,,
1/7/2012 6:05,0.5468,0.58915,0.442066667,0.5797,,
1/7/2012 6:10,0.5469,0.5736,0.435633333,0.5468,,
1/7/2012 6:15,0.5312,0.55805,0.4292,0.5469,,
1/7/2012 6:20,0.5268,0.5425,0.422766667,0.5312,,
1/7/2012 6:25,0.5109,0.52695,0.416333333,0.5268,,
1/7/2012 6:30,0.4886,0.5114,0.4099,0.5109,,
1/7/2012 6:35,0.4773,0.49585,0.403466667,0.4886,,
1/7/2012 6:40,0.4554,0.4803,0.397033333,0.4773,,
1/7/2012 6:45,0.4138,0.46475,0.3906,0.4554,,
