,France_good_wind
clearance [m],60.0
sp [W/m2],312.0
p_rated [MW],14.0
Nwt,20.0
wind_MW_per_km2 [MW/km2],4.0
solar_MW [MW],144.00000000000003
surface_tilt [deg],51.26834187631305
surface_azimuth [deg],210.0
DC_AC_ratio,1.479
b_P [MW],20.0
b_E_h [h],4.0
cost_of_battery_P_fluct_in_peak_price_ratio,8.75
name,France_good_wind
longitude,-0.864258
latitude,48.744116
altitude,302.0
NPV_over_CAPEX,0.8870847482507497
NPV [MEuro],380.72265024151284
IRR,0.12602510238121822
LCOE [Euro/MWh],34.087505443250194
Revenues [MEuro],47.626742443736006
CAPEX [MEuro],429.18407851365185
OPEX [MEuro],8.924138642139624
Wind CAPEX [MEuro],301.84493030134837
Wind OPEX [MEuro],7.965746642139625
PV CAPEX [MEuro],47.60496000000001
PV OPEX [MEuro],0.9583920000000002
Batt CAPEX [MEuro],7.752188212303461
Batt OPEX [MEuro],0.0
Shared CAPEX [MEuro],71.982
Shared OPEX [MEuro],0.0
penalty lifetime [MEuro],0.0
Mean Annual Electricity Sold [GWh],1207.6430206676293
GUF,0.4595293077121877
grid [MW],300.0
wind [MW],280.0
solar [MW],144.00000000000003
Battery Energy [MWh],80.0
Battery Power [MW],20.0
Total curtailment [GWh],473.44997937609605
Total curtailment with deg [GWh],196.76643918915482
Awpp [km2],70.0
Apvp [km2],1.7654400000000003
Plant area [km2],70.0
Rotor diam [m],239.0241487256334
Hub height [m],179.5120743628167
Number of batteries used in lifetime,2.0
Break-even PPA price [Euro/MWh],23.2705389588378
Capacity factor wind [-],0.418762981627039
AEP [GWh],1396.0813088304758
AEP with degradation [GWh],1215.9587431789696
design obj,NPV_over_CAPEX
opt time [min],17.83
n_model_evals,174
