0,1,type
abl.hh,"{'desc': ""Turbine's hub height"", 'val': array([1.]), 'units': 'm', 'prom_name': 'hh'}",input
battery_cost.b_P,"{'desc': 'Battery power capacity', 'val': array([1.]), 'units': 'MW', 'prom_name': 'b_P'}",input
battery_cost.b_E,"{'desc': 'Battery energy storage capacity', 'val': array([1.]), 'units': None, 'prom_name': 'b_E'}",input
battery_cost.SoH,"{'desc': 'Battery state of health at discretization levels', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': None, 'prom_name': 'SoH'}",input
battery_degradation.b_E_SOC_t,"{'desc': 'Battery energy SOC time series', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219001,)), 'units': None, 'prom_name': 'b_E_SOC_t'}",input
battery_degradation.min_LoH,"{'desc': 'Minimum level of health before death of battery', 'val': array([1.]), 'units': None, 'prom_name': 'min_LoH'}",input
battery_loss_in_capacity_due_to_temp.SoH,"{'desc': 'Battery state of health at discretization levels', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': None, 'prom_name': 'SoH'}",input
battery_with_reliability.b_t,"{'desc': '', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': 'MW', 'prom_name': 'b_t'}",input
ems.wind_t,"{'desc': 'WPP power time series', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(8760,)), 'units': 'MW', 'prom_name': 'wind_t'}",input
ems.solar_t,"{'desc': 'PVP power time series', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(8760,)), 'units': 'MW', 'prom_name': 'solar_t'}",input
ems.price_t,"{'desc': 'Electricity price time series', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(8760,)), 'units': None, 'prom_name': 'price_t'}",input
ems.b_P,"{'desc': 'Battery power capacity', 'val': array([1.]), 'units': 'MW', 'prom_name': 'b_P'}",input
ems.b_E,"{'desc': 'Battery energy storage capacity', 'val': array([1.]), 'units': None, 'prom_name': 'b_E'}",input
