iteration,timestamp,success,NPV_over_CAPEX,clearance,sp,solar_MW,time_sec
0,8637.6904464,1,0.8714889757882016,1.0,1.0,1.0,0.0
1,8646.771317,1,-0.6175752730289,21.86186450042694,238.53903316750763,134.55912561150953,9.080870600000708
2,8656.4161138,1,-0.7203685362903073,54.42191915775891,290.99888302065455,52.61189558842038,18.72566740000002
3,8666.3682493,1,-0.6640873744435132,38.205791208208,298.1058708296123,40.75181731591783,28.677802899999733
4,8676.5303098,1,-0.5814688841709732,11.32737837063351,250.16346214638952,92.05178466648593,38.83986340000047
5,8686.9363547,1,-0.7189322923426767,54.42191915775891,290.99888302065455,43.40300521170968,49.24590829999943
6,8697.296342,1,-0.6175752730289,21.86186450042694,238.53903316750763,134.55912561150953,59.60589559999971
7,8707.4711546,1,-0.6660064477590486,37.20756232567489,290.8867336441352,54.14175428119178,69.78070819999994
8,8717.4912748,1,-0.7181385116902077,54.42191915775891,295.4714244939389,39.22205171942699,79.80082840000068
9,8727.6100457,1,-0.7203685362903073,54.42191915775891,290.99888302065455,52.61189558842038,89.91959929999939
