iteration,timestamp,success,NPV_over_CAPEX,clearance,sp,p_rated,Nwt,wind_MW_per_km2,solar_MW,surface_tilt,surface_azimuth,time_sec
0,6089.1113864,1,0.7316836268234375,10.0,200.0,5.0,5.0,1.0,30.0,28.23529411764706,191.1764705882353,0.0
1,6096.0790287,1,0.8826551347750452,46.0,217.0,20.0,10.0,4.0,106.66666666666666,79.05882352941177,156.35294117647058,6.96764230000008
2,6103.3519991,1,-0.633764791141254,10.0,253.0,13.0,19.0,9.152941176470588,128.66666666666666,75.1764705882353,173.52941176470588,14.240612700000383
3,6110.8279014,1,-0.5698392892749401,54.0,351.0,10.0,13.0,6.541176470588235,178.66666666666666,22.23529411764706,166.0,21.716515000000072
4,6118.3869945,1,-0.5538837067369651,10.0,255.0,10.0,13.0,6.541176470588235,200.0,22.23529411764706,166.0,29.275608099999772
5,6125.9536892,1,-0.7390933356060069,54.0,349.0,13.0,19.0,9.152941176470588,128.66666666666666,75.1764705882353,173.52941176470588,36.84230279999974
6,6133.5863639,1,-0.6310727887912604,46.0,212.0,11.0,12.0,7.0,144.66666666666666,42.352941176470594,183.1764705882353,44.47497750000002
7,6141.285367,1,-0.5483285794608692,38.0,351.0,10.0,13.0,6.541176470588235,178.66666666666666,22.23529411764706,166.0,52.173980600000505
8,6148.8823004,1,-0.8318390726275184,57.0,328.0,15.0,17.0,4.105882352941176,192.0,33.1764705882353,194.0,59.77091399999972
9,6155.964097,1,0.7316836268234375,10.0,200.0,5.0,5.0,1.0,30.0,28.23529411764706,191.1764705882353,66.85271060000014
10,6163.6308953,1,-0.633764791141254,10.0,253.0,13.0,19.0,9.152941176470588,128.66666666666666,75.1764705882353,173.52941176470588,74.51950889999989
11,6171.4972528,1,-0.6422557583317353,57.0,336.0,11.0,12.0,7.0,144.66666666666666,42.352941176470594,183.1764705882353,82.38586639999994
12,6179.3824867,1,-0.7303443428787911,46.0,212.0,15.0,17.0,4.105882352941176,192.0,33.1764705882353,194.0,90.2711003000004
13,6187.3738618,1,-0.6003641034611757,10.0,221.0,13.0,19.0,9.152941176470588,128.66666666666666,75.1764705882353,173.52941176470588,98.26247539999986
14,6194.6776727,1,-0.633764791141254,10.0,253.0,13.0,19.0,9.152941176470588,128.66666666666666,75.1764705882353,173.52941176470588,105.56628629999977
15,6201.5412799,1,0.732368565855409,18.0,200.0,5.0,5.0,1.0,30.0,28.23529411764706,191.1764705882353,112.42989349999971
16,6209.219375,1,-0.6763628100766835,54.0,349.0,14.0,13.0,6.541176470588235,200.0,22.23529411764706,166.0,120.10798859999977
17,6216.5176419,1,-0.49062270289915877,42.0,255.0,5.0,19.0,9.152941176470588,128.66666666666666,75.1764705882353,173.52941176470588,127.40625550000004
18,6223.8981185,1,-0.6310727887912604,46.0,212.0,11.0,12.0,7.0,144.66666666666666,42.352941176470594,183.1764705882353,134.78673210000034
19,6231.3990985,1,-0.802604156742068,57.0,328.0,15.0,17.0,4.105882352941176,192.0,78.3529411764706,194.0,142.28771210000014
20,6238.8603295,1,-0.8318390726275184,57.0,328.0,15.0,17.0,4.105882352941176,192.0,33.1764705882353,194.0,149.74894310000036
