iteration,timestamp,success,NPV_over_CAPEX,clearance,sp,p_rated,Nwt,wind_MW_per_km2,solar_MW,surface_tilt,surface_azimuth,time_sec
0,251.8576805,1,0.7316836268234375,10.0,200.0,5.0,5.0,1.0,30.0,28.23529411764706,191.1764705882353,0.0
1,272.7004004,1,-0.6968499881346762,41.0,209.0,9.0,20.0,7.988235294117647,200.0,35.294117647058826,183.1764705882353,20.84271989999999
2,296.5639877,1,0.8271347961271894,50.0,285.0,19.0,15.0,2.9058823529411764,151.33333333333331,67.05882352941177,191.88235294117646,44.7063072
3,316.7281793,1,-0.7943414093868942,47.0,296.0,17.0,17.0,7.2823529411764705,81.33333333333333,60.00000000000001,191.41176470588235,64.87049880000004
4,338.7004736,1,-0.2573226371501221,43.0,228.0,9.0,6.0,4.705882352941177,37.333333333333336,76.23529411764706,157.05882352941177,86.84279310000002
5,368.5205029,1,0.8760711795534106,12.0,350.0,16.0,19.0,1.9529411764705882,118.0,63.88235294117648,190.23529411764707,116.66282240000001
6,392.916037,1,-0.6416508446937582,25.0,327.0,16.0,16.0,3.4352941176470586,192.0,7.058823529411765,173.76470588235293,141.05835650000003
7,415.2358471,1,0.8720518379631169,12.0,350.0,16.0,19.0,1.9529411764705882,118.66666666666666,64.58823529411765,194.0,163.37816660000001
8,439.3999554,1,-0.21749767870955197,26.0,228.0,11.0,5.0,5.376470588235294,37.333333333333336,76.94117647058825,157.05882352941177,187.54227490000002
9,460.6059755,1,0.02707126678206602,42.0,264.0,5.0,5.0,5.517647058823529,31.333333333333332,28.23529411764706,205.29411764705884,208.748295
10,484.997802,1,-0.6631458944101969,20.0,285.0,15.0,15.0,7.423529411764706,151.33333333333331,67.05882352941177,191.88235294117646,233.1401215
11,505.3471995,1,-0.7923717657825976,47.0,296.0,17.0,17.0,7.2823529411764705,38.666666666666664,60.00000000000001,191.41176470588235,253.489519
12,525.1799737,1,-0.6231537326350538,12.0,326.0,16.0,16.0,3.4352941176470586,192.0,9.882352941176471,173.76470588235293,273.3222932
13,544.3149155,1,0.9065455741370525,25.0,350.0,20.0,19.0,1.9529411764705882,118.0,56.82352941176471,190.23529411764707,292.45723499999997
14,567.4353454,1,-0.650524036432014,25.0,209.0,9.0,20.0,8.023529411764706,178.0,22.58823529411765,183.1764705882353,315.57766489999995
15,587.1056101,1,0.4535640075507436,26.0,216.0,7.0,5.0,1.1058823529411765,116.0,28.23529411764706,191.1764705882353,335.2479296
16,609.1664848,1,-0.6441293888133911,25.0,209.0,9.0,20.0,8.588235294117647,167.33333333333331,22.58823529411765,183.1764705882353,357.3088043
17,628.4109891,1,0.8884213185201415,25.0,350.0,20.0,19.0,1.9176470588235293,134.0,56.82352941176471,190.23529411764707,376.55330860000004
18,650.6159337,1,-0.7914645143729672,47.0,297.0,17.0,18.0,7.2823529411764705,38.0,60.00000000000001,161.2941176470588,398.7582532
19,673.6422659,1,-0.6857441249070686,12.0,350.0,16.0,19.0,4.1764705882352935,116.0,63.529411764705884,194.0,421.78458539999997
20,698.8382393,1,-0.8014368394343999,58.0,285.0,15.0,15.0,7.423529411764706,151.33333333333331,55.76470588235294,191.88235294117646,446.98055880000004
21,723.4223915,1,-0.6954648456920016,22.0,296.0,17.0,17.0,7.2823529411764705,60.666666666666664,57.529411764705884,192.35294117647058,471.564711
22,745.6231996,1,-0.7163236847482507,46.0,232.0,13.0,17.0,9.470588235294118,81.33333333333333,82.58823529411765,206.47058823529412,493.7655191
23,768.5771588,1,0.8975632866064849,57.0,350.0,19.0,19.0,1.9529411764705882,118.0,62.47058823529412,194.94117647058823,516.7194783
24,790.3466994,1,-0.7928248042307158,47.0,296.0,17.0,17.0,7.2823529411764705,124.0,60.00000000000001,191.41176470588235,538.4890189
25,811.9878725,1,-0.5181998146436416,24.0,275.0,6.0,19.0,8.305882352941175,178.0,7.058823529411765,183.1764705882353,560.130192
26,833.4461983,1,-0.02867852972817241,10.0,280.0,5.0,7.0,6.08235294117647,40.666666666666664,28.58823529411765,205.29411764705884,581.5885178
27,855.6408319,1,-0.5982495989449804,52.0,285.0,19.0,7.0,7.423529411764706,150.66666666666666,67.41176470588236,184.35294117647058,603.7831514
28,875.9637979,1,0.9899436790061013,20.0,350.0,20.0,19.0,1.9176470588235293,48.666666666666664,56.82352941176471,190.23529411764707,624.1061174
29,897.8568532,1,-0.5347154800794063,47.0,297.0,9.0,13.0,7.2823529411764705,38.666666666666664,60.00000000000001,161.2941176470588,645.9991727
30,919.6330247,1,-0.7779614691181788,47.0,296.0,18.0,17.0,7.564705882352941,136.0,60.00000000000001,185.76470588235293,667.7753442
31,943.3532061,1,-0.6865227144768625,22.0,296.0,17.0,17.0,6.7176470588235295,39.33333333333333,12.352941176470589,184.8235294117647,691.4955256
32,968.9561127,1,-0.7187460993562946,47.0,317.0,13.0,13.0,7.423529411764706,140.66666666666666,55.76470588235294,206.47058823529412,717.0984321999999
33,991.5438528,1,0.8892474064427898,59.0,234.0,17.0,18.0,7.2823529411764705,102.66666666666666,60.00000000000001,191.88235294117646,739.6861723
34,1015.3087996,1,-0.6537934682343709,12.0,296.0,17.0,17.0,7.423529411764706,60.666666666666664,57.529411764705884,192.35294117647058,763.4511191
35,1038.6454508,1,-0.7143712828189203,46.0,232.0,13.0,17.0,9.823529411764707,81.33333333333333,82.58823529411765,208.35294117647058,786.7877702999999
36,1060.3635825,1,-0.6670094671805435,17.0,296.0,17.0,17.0,7.423529411764706,81.33333333333333,60.00000000000001,183.88235294117646,808.5059019999999
37,1082.0723806,1,-0.656730118473665,10.0,285.0,15.0,15.0,7.423529411764706,151.33333333333331,55.05882352941177,191.88235294117646,830.2147001000001
38,1104.100644,1,-0.5295685964567157,52.0,287.0,19.0,7.0,7.423529411764706,193.33333333333331,56.117647058823536,150.0,852.2429635000001
39,1126.1607986,1,-0.7928248042307158,47.0,296.0,17.0,17.0,7.2823529411764705,124.0,60.00000000000001,191.41176470588235,874.3031180999999
40,1148.0738452,1,-0.8038783874759637,48.0,312.0,17.0,19.0,7.423529411764706,60.666666666666664,57.1764705882353,191.41176470588235,896.2161647
