,0,1,2,3,4,5,6,7
,clearance,sp,p_rated,Nwt,wind_MW_per_km2,solar_MW,surface_tilt,surface_azimuth
0,16,200,13,19,9,199,73.61642864,178.4069626
1,13,232,19,18,1,184,63.4360412,192.9549208
2,58,220,10,10,6,171,26.90699726,182.2845571
3,19,315,8,8,7,139,16.35863221,209.7265077
4,55,249,7,10,2,128,75.2497847,195.7970723
5,43,300,6,5,4,31,49.07854463,204.7949136
6,51,326,15,14,8,46,83.24711198,156.5079932
7,28,352,18,15,5,63,33.89126362,171.5340505
8,36,256,12,17,2,88,5.040358555,186.638602
9,47,339,15,14,3,157,41.52133121,166.3641095
10,22,279,18,11,10,108,57.74716541,163.9427276
11,33,282,10,7,9,78,7.915307403,151.226836
